time	V(out)
4.106550652811198e-04	9.992976e-01
4.116316277811198e-04	9.992975e-01
4.126081902811198e-04	9.992975e-01
4.135847527811198e-04	9.992976e-01
4.145613152811198e-04	9.992976e-01
4.155378777811198e-04	9.992976e-01
4.165144402811198e-04	9.992976e-01
4.174910027811198e-04	9.992976e-01
4.184675652811198e-04	9.992976e-01
4.194441277811198e-04	9.992976e-01
4.204206902811198e-04	9.992976e-01
4.213972527811198e-04	9.992976e-01
4.223738152811198e-04	9.992976e-01
4.233503777811198e-04	9.992976e-01
4.243269402811198e-04	9.992976e-01
4.253035027811198e-04	9.992976e-01
4.262800652811198e-04	9.992976e-01
4.272566277811198e-04	9.992976e-01
4.282331902811198e-04	9.992976e-01
4.292097527811198e-04	9.992976e-01
5.000234374999999e-04	9.992976e-01
5.009999999999999e-04	9.992976e-01
5.010421915655519e-04	1.000759e+00
5.011265746966558e-04	1.002851e+00
5.012953409588636e-04	1.004669e+00
5.014423255460427e-04	1.005573e+00
5.015947781309269e-04	1.006878e+00
5.016950948302313e-04	1.007899e+00
5.017993666013913e-04	1.009306e+00
5.020000000000001e-04	1.012921e+00
5.020200633398610e-04	1.012181e+00
5.020601900195827e-04	1.009865e+00
5.021404433790261e-04	1.005550e+00
5.022635255854146e-04	1.003389e+00
5.024054536208111e-04	1.004393e+00
5.025349382746214e-04	1.004781e+00
5.027365424420769e-04	1.004280e+00
5.029499755015904e-04	1.004292e+00
5.033768416206173e-04	1.004396e+00
5.038812805977042e-04	1.004348e+00
5.046013378656074e-04	1.004382e+00
5.055779003656074e-04	1.004369e+00
5.065544628656074e-04	1.004374e+00
5.075310253656074e-04	1.004370e+00
5.085075878656074e-04	1.004374e+00
5.094841503656074e-04	1.004371e+00
5.104607128656074e-04	1.004373e+00
5.114372753656074e-04	1.004371e+00
5.124138378656074e-04	1.004372e+00
5.133904003656074e-04	1.004372e+00
5.143669628656074e-04	1.004372e+00
5.153435253656074e-04	1.004372e+00
5.163200878656074e-04	1.004372e+00
5.172966503656074e-04	1.004373e+00
5.182732128656074e-04	1.004372e+00
5.192497753656074e-04	1.004373e+00
5.202263378656074e-04	1.004372e+00
5.212029003656074e-04	1.004373e+00
5.221794628656074e-04	1.004372e+00
5.231560253656074e-04	1.004373e+00
5.241325878656074e-04	1.004372e+00
5.260857128656074e-04	1.004372e+00
5.270622753656074e-04	1.004372e+00
5.280388378656074e-04	1.004372e+00
5.290154003656074e-04	1.004372e+00
5.299919628656074e-04	1.004372e+00
5.309685253656074e-04	1.004372e+00
5.319450878656074e-04	1.004372e+00
5.329216503656074e-04	1.004372e+00
5.338982128656074e-04	1.004372e+00
5.348747753656074e-04	1.004372e+00
5.358513378656074e-04	1.004372e+00
5.368279003656074e-04	1.004372e+00
5.378044628656074e-04	1.004372e+00
5.387810253656074e-04	1.004372e+00
5.397575878656074e-04	1.004372e+00
5.417107128656074e-04	1.004372e+00
5.426872753656074e-04	1.004372e+00
5.436638378656074e-04	1.004372e+00
5.446404003656074e-04	1.004372e+00
5.456169628656074e-04	1.004372e+00
5.465935253656074e-04	1.004372e+00
5.475700878656074e-04	1.004372e+00
5.485466503656074e-04	1.004372e+00
5.495232128656074e-04	1.004372e+00
5.504997753656074e-04	1.004372e+00
5.514763378656074e-04	1.004372e+00
5.524529003656074e-04	1.004372e+00
5.534294628656074e-04	1.004372e+00
5.587308021513217e-04	1.004372e+00
5.640321414370360e-04	1.004372e+00
5.693334807227503e-04	1.004372e+00
5.746348200084646e-04	1.004372e+00
5.799361592941788e-04	1.004372e+00
5.852374985798931e-04	1.004372e+00
5.905388378656075e-04	1.004372e+00
5.990234374999999e-04	1.004372e+00
5.999999999999999e-04	1.004372e+00
6.000593781596911e-04	1.000549e+00
6.001781344790733e-04	9.959052e-01
6.003139961056526e-04	9.954958e-01
6.004236946898959e-04	9.964258e-01
6.005521053114933e-04	9.963754e-01
6.007174373525237e-04	9.960290e-01
6.008241870100101e-04	9.959151e-01
6.010000000000000e-04	9.954742e-01
6.010175812989990e-04	9.960952e-01
6.010527438969970e-04	9.973626e-01
6.011230690929929e-04	9.989836e-01
6.012073168037809e-04	9.994325e-01
6.013124705525499e-04	9.992959e-01
6.014358369457732e-04	9.992768e-01
6.016825697322196e-04	9.993036e-01
6.021174695791010e-04	9.992955e-01
6.028425652776386e-04	9.992982e-01
6.038191277776386e-04	9.992975e-01
6.047956902776386e-04	9.992977e-01
6.057722527776386e-04	9.992975e-01
6.067488152776386e-04	9.992976e-01
6.077253777776386e-04	9.992975e-01
6.087019402776386e-04	9.992976e-01
6.096785027776386e-04	9.992975e-01
6.106550652776386e-04	9.992976e-01
6.116316277776386e-04	9.992975e-01
6.126081902776386e-04	9.992975e-01
6.135847527776386e-04	9.992976e-01
6.145613152776386e-04	9.992976e-01
6.155378777776386e-04	9.992976e-01
6.165144402776386e-04	9.992976e-01
6.174910027776386e-04	9.992976e-01
6.184675652776386e-04	9.992976e-01
6.194441277776386e-04	9.992976e-01
6.204206902776387e-04	9.992976e-01
6.213972527776387e-04	9.992976e-01
6.223738152776387e-04	9.992976e-01
6.233503777776387e-04	9.992976e-01
6.243269402776387e-04	9.992976e-01
6.253035027776387e-04	9.992976e-01
6.262800652776387e-04	9.992976e-01
6.272566277776387e-04	9.992976e-01
6.282331902776387e-04	9.992976e-01
6.292097527776387e-04	9.992976e-01
7.000234375000000e-04	9.992976e-01
7.010000000000000e-04	9.992976e-01
7.010421915655535e-04	1.000759e+00
7.011265746966604e-04	1.002851e+00
7.012953409588742e-04	1.004669e+00
7.014423255460492e-04	1.005573e+00
7.015947781309292e-04	1.006878e+00
7.016950948302400e-04	1.007899e+00
7.017993666013783e-04	1.009306e+00
7.019999999999999e-04	1.012921e+00
7.020200633398621e-04	1.012181e+00
7.020601900195864e-04	1.009865e+00
7.021404433790351e-04	1.005550e+00
7.022635255854256e-04	1.003389e+00
7.024054536208242e-04	1.004393e+00
7.025349382746344e-04	1.004781e+00
7.027365424420896e-04	1.004280e+00
7.029499755015971e-04	1.004292e+00
