v1	V(out)
5.190000000000003e-01	-7.567555e-01
5.200000000000004e-01	-7.562329e-01
5.210000000000004e-01	-7.557023e-01
5.220000000000004e-01	-7.551637e-01
5.230000000000004e-01	-7.546170e-01
5.240000000000004e-01	-7.540621e-01
5.250000000000004e-01	-7.534988e-01
5.260000000000004e-01	-7.529271e-01
5.270000000000004e-01	-7.523469e-01
5.280000000000004e-01	-7.517581e-01
5.290000000000004e-01	-7.511606e-01
5.300000000000004e-01	-7.505543e-01
5.310000000000004e-01	-7.499391e-01
5.320000000000004e-01	-7.493148e-01
5.330000000000004e-01	-7.486815e-01
5.340000000000004e-01	-7.480389e-01
5.350000000000004e-01	-7.473869e-01
5.360000000000004e-01	-7.467255e-01
5.370000000000004e-01	-7.460545e-01
5.380000000000004e-01	-7.453738e-01
5.390000000000004e-01	-7.446832e-01
5.400000000000004e-01	-7.439827e-01
5.410000000000004e-01	-7.432721e-01
5.420000000000004e-01	-7.425513e-01
5.430000000000004e-01	-7.418201e-01
5.440000000000004e-01	-7.410784e-01
5.450000000000004e-01	-7.403260e-01
5.460000000000004e-01	-7.395628e-01
5.470000000000004e-01	-7.387887e-01
5.480000000000004e-01	-7.380034e-01
5.490000000000004e-01	-7.372067e-01
5.500000000000004e-01	-7.363986e-01
5.510000000000004e-01	-7.355788e-01
5.520000000000004e-01	-7.347471e-01
5.530000000000004e-01	-7.339033e-01
5.540000000000004e-01	-7.330473e-01
5.550000000000004e-01	-7.321787e-01
5.560000000000004e-01	-7.312974e-01
5.570000000000004e-01	-7.304032e-01
5.580000000000004e-01	-7.294957e-01
5.590000000000004e-01	-7.285747e-01
5.600000000000004e-01	-7.276399e-01
5.610000000000004e-01	-7.266911e-01
5.620000000000004e-01	-7.257279e-01
5.630000000000004e-01	-7.247500e-01
5.640000000000004e-01	-7.237571e-01
5.650000000000004e-01	-7.227488e-01
5.660000000000004e-01	-7.217247e-01
5.670000000000004e-01	-7.206845e-01
5.680000000000004e-01	-7.196276e-01
5.690000000000004e-01	-7.185537e-01
5.700000000000004e-01	-7.174622e-01
5.710000000000004e-01	-7.163526e-01
5.720000000000004e-01	-7.152245e-01
5.730000000000004e-01	-7.140772e-01
5.740000000000004e-01	-7.129101e-01
5.750000000000004e-01	-7.117224e-01
5.760000000000004e-01	-7.105136e-01
5.770000000000004e-01	-7.092828e-01
5.780000000000004e-01	-7.080292e-01
5.790000000000004e-01	-7.067519e-01
